ID	02078-BA_metaphlan	07004-B_metaphlan	07005-B_metaphlan	08012-B_metaphlan	08016-B_metaphlan	09024-B_metaphlan	09069-B_metaphlan	10029-BA_metaphlan	10030-B_metaphlan	12042-B_metaphlan
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	1.65387	0.18658	38.73491	0.0	0.0	0.06903	0.5636	0.0	0.03559	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacteriaceae_unclassified	1.55251	0.0	5.10149	0.0	0.0	0.06003	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium	0.10136	0.18658	33.63343	0.0	0.0	0.009	0.5636	0.0	0.03559	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	0.0	0.0	33.63343	0.0	0.0	0.009	0.0	0.0	0.03559	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes|t__Propionibacterium_acnes_unclassified	0.0	0.0	33.63343	0.0	0.0	0.009	0.0	0.0	0.03559	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_avidum	0.10136	0.11705	0.0	0.0	0.0	0.0	0.5636	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_avidum|t__Propionibacterium_avidum_unclassified	0.10136	0.11705	0.0	0.0	0.0	0.0	0.5636	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_granulosum	0.0	0.06954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_granulosum|t__Propionibacterium_granulosum_unclassified	0.0	0.06954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.0	0.0	0.0	0.0	0.0	0.77104	0.0	3.45494	64.10423	9.59061
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.77104	0.0	3.45494	64.10423	9.59061
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0.0	0.0	0.0	0.0	0.0	0.77104	0.0	3.45494	64.10423	9.59061
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0.0	0.0	0.0	0.0	0.0	0.77104	0.0	3.45494	64.10423	9.59061
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum|t__Bifidobacterium_longum_unclassified	0.0	0.0	0.0	0.0	0.0	0.77104	0.0	3.45494	64.10423	9.59061
k__Bacteria|p__Firmicutes	5.51607	51.24226	14.77291	39.53744	2.32835	68.6546	8.26673	16.11885	17.28464	1.22679
k__Bacteria|p__Firmicutes|c__Bacilli	5.3251	0.78385	14.77232	0.29855	1.73186	2.22714	0.96885	0.05689	17.14502	1.18719
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.02559	0.12728	14.77232	0.01856	1.52716	0.15212	0.48219	0.04901	3.1785	0.38156
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Gemella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Gemella|s__Gemella_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae	0.0	0.0	0.0	0.0	0.00297	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae|g__Listeria	0.0	0.0	0.0	0.0	0.00297	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae|g__Listeria|s__Listeria_monocytogenes	0.0	0.0	0.0	0.0	0.00297	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae|g__Listeria|s__Listeria_monocytogenes|t__Listeria_monocytogenes_unclassified	0.0	0.0	0.0	0.0	0.00297	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	0.02559	0.12728	14.77232	0.01856	1.52419	0.15212	0.48219	0.04901	3.1785	0.38031
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	0.02559	0.12728	14.77232	0.01856	1.52419	0.15212	0.48219	0.04901	3.1785	0.38031
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_aureus	0.01647	0.09147	0.0	0.0	0.0	0.0	0.0	0.0	2.4682	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_aureus|t__Staphylococcus_aureus_unclassified	0.01647	0.09147	0.0	0.0	0.0	0.0	0.0	0.0	2.4682	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_epidermidis	0.00913	0.03581	14.77232	0.01557	1.51708	0.04826	0.48219	0.04901	0.69177	0.24174
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_epidermidis|t__Staphylococcus_epidermidis_unclassified	0.00913	0.03581	14.77232	0.01557	1.51708	0.04826	0.48219	0.04901	0.69177	0.24174
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_hominis	0.0	0.0	0.0	0.0	0.0071	0.0	0.0	0.0	0.01853	0.13857
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_hominis|t__Staphylococcus_hominis_unclassified	0.0	0.0	0.0	0.0	0.0071	0.0	0.0	0.0	0.01853	0.13857
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_lugdunensis	0.0	0.0	0.0	0.00299	0.0	0.10386	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_lugdunensis|t__Staphylococcus_lugdunensis_unclassified	0.0	0.0	0.0	0.00299	0.0	0.10386	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	5.2995	0.65657	0.0	0.27999	0.2047	2.07503	0.48666	0.00788	13.96651	0.80562
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	5.2995	0.04281	0.0	0.27999	0.0	0.01812	0.0	0.00647	13.40528	0.22157
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	5.2995	0.04281	0.0	0.27999	0.0	0.01812	0.0	0.00647	13.40528	0.22157
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis	5.2995	0.04281	0.0	0.27999	0.0	0.01812	0.0	0.00647	12.7979	0.22157
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis|t__Enterococcus_faecalis_unclassified	5.2995	0.04281	0.0	0.27999	0.0	0.01812	0.0	0.00647	12.7979	0.22157
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.60738	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium|t__Enterococcus_faecium_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.60738	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0.0	0.0	0.0	0.0	0.0	0.16995	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	0.0	0.0	0.0	0.0	0.0	0.16995	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_fermentum	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_fermentum|t__Lactobacillus_fermentum_unclassified	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_gasseri	0.0	0.0	0.0	0.0	0.0	0.14695	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_gasseri|t__Lactobacillus_gasseri_unclassified	0.0	0.0	0.0	0.0	0.0	0.14695	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.0	0.61376	0.0	0.0	0.2047	1.88695	0.48666	0.00141	0.56123	0.58406
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	0.0	0.61376	0.0	0.0	0.2047	1.88695	0.48666	0.00141	0.56123	0.58406
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_agalactiae	0.0	0.0	0.0	0.0	0.0	0.35518	0.4699	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_agalactiae|t__Streptococcus_agalactiae_unclassified	0.0	0.0	0.0	0.0	0.0	0.35518	0.4699	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_lutetiensis	0.0	0.61376	0.0	0.0	0.0	0.0	0.0	0.0	0.2889	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_lutetiensis|t__GCF_000441535	0.0	0.61376	0.0	0.0	0.0	0.0	0.0	0.0	0.2889	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis_oralis_pneumoniae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008	0.27233	0.0375
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis_oralis_pneumoniae|t__Streptococcus_mitis_oralis_pneumoniae_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008	0.27233	0.0375
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis	0.0	0.0	0.0	0.0	0.19301	1.52869	0.01676	0.00061	0.0	0.54656
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis|t__Streptococcus_parasanguinis_unclassified	0.0	0.0	0.0	0.0	0.19301	1.52869	0.01676	0.00061	0.0	0.54656
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius	0.0	0.0	0.0	0.0	0.01169	0.0021	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius|t__Streptococcus_salivarius_unclassified	0.0	0.0	0.0	0.0	0.01169	0.0021	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_tigurinus	0.0	0.0	0.0	0.0	0.0	0.00098	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_tigurinus|t__Streptococcus_tigurinus_unclassified	0.0	0.0	0.0	0.0	0.0	0.00098	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia	0.19097	0.05169	0.0	0.0	0.59649	0.0	7.29788	0.07042	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.19097	0.05169	0.0	0.0	0.59649	0.0	7.29788	0.07042	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.19097	0.0	0.0	0.0	0.59649	0.0	7.15781	0.07042	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	0.19097	0.0	0.0	0.0	0.59649	0.0	7.15781	0.07042	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_butyricum	0.0	0.0	0.0	0.0	0.0	0.0	7.15781	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_butyricum|t__Clostridium_butyricum_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	7.15781	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_perfringens	0.19097	0.0	0.0	0.0	0.59649	0.0	0.0	0.07042	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_perfringens|t__Clostridium_perfringens_unclassified	0.19097	0.0	0.0	0.0	0.59649	0.0	0.0	0.07042	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis	0.0	0.05169	0.0	0.0	0.0	0.0	0.14006	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Finegoldia	0.0	0.05169	0.0	0.0	0.0	0.0	0.14006	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Finegoldia|s__Finegoldia_magna	0.0	0.05169	0.0	0.0	0.0	0.0	0.14006	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Finegoldia|s__Finegoldia_magna|t__Finegoldia_magna_unclassified	0.0	0.05169	0.0	0.0	0.0	0.0	0.14006	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes	0.0	50.40673	0.00058	39.23889	0.0	66.42746	0.0	15.99154	0.13962	0.0396
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.0	50.40673	0.00058	39.23889	0.0	66.42746	0.0	15.99154	0.13962	0.0396
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.0	50.40673	0.00058	39.23889	0.0	66.42746	0.0	15.99154	0.13962	0.0396
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella	0.0	50.40673	0.00058	39.23889	0.0	66.42746	0.0	15.99154	0.13962	0.0396
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica	0.0	0.0	0.0	0.0	0.0	0.7066	0.0	4.50303	0.01669	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica|t__Veillonella_atypica_unclassified	0.0	0.0	0.0	0.0	0.0	0.7066	0.0	4.50303	0.01669	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar	0.0	4.25437	0.0	0.0	0.0	10.26543	0.0	0.02475	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar|t__GCF_000160015	0.0	4.25437	0.0	0.0	0.0	10.26543	0.0	0.02475	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula	0.0	19.03654	0.0	30.03326	0.0	2.50538	0.0	0.12975	0.08725	0.02588
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula|t__Veillonella_parvula_unclassified	0.0	19.03654	0.0	30.03326	0.0	2.50538	0.0	0.12975	0.08725	0.02588
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_ratti	0.0	0.0	0.00058	0.0	0.0	0.0	0.0	0.97918	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_ratti|t__GCF_000315505	0.0	0.0	0.00058	0.0	0.0	0.0	0.0	0.97918	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified	0.0	27.11582	0.0	9.20562	0.0	52.95006	0.0	10.35483	0.03568	0.01373
k__Bacteria|p__Proteobacteria	28.65699	48.57115	22.80912	0.5462	97.54707	30.50188	91.16967	80.42621	18.55488	88.6897
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.0	0.0	0.0	0.15898	0.0	0.0	0.0	0.0	0.01017	0.02066
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01017	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01017	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Thiomonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01017	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Thiomonas|s__Thiomonas_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01017	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	0.0	0.0	0.0	0.15898	0.0	0.0	0.0	0.0	0.0	0.02066
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	0.0	0.0	0.0	0.15898	0.0	0.0	0.0	0.0	0.0	0.02066
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria	0.0	0.0	0.0	0.15898	0.0	0.0	0.0	0.0	0.0	0.02066
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_flavescens	0.0	0.0	0.0	0.04424	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_flavescens|t__Neisseria_flavescens_unclassified	0.0	0.0	0.0	0.04424	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_meningitidis	0.0	0.0	0.0	0.00763	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_meningitidis|t__Neisseria_meningitidis_unclassified	0.0	0.0	0.0	0.00763	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_subflava	0.0	0.0	0.0	0.02029	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_subflava|t__GCF_000173955	0.0	0.0	0.0	0.02029	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_unclassified	0.0	0.0	0.0	0.08681	0.0	0.0	0.0	0.0	0.0	0.02066
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	28.65699	48.57115	22.80912	0.38722	97.54707	30.50188	91.16967	80.42621	18.54471	88.66904
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	28.65699	48.57115	22.80912	0.02485	97.54707	30.50188	91.16967	80.42621	0.57293	88.56469
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	28.65699	48.57115	22.80912	0.02485	97.54707	30.50188	91.16967	80.42621	0.57293	88.56469
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15747	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_freundii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10179	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_freundii|t__Citrobacter_freundii_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10179	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05568	0.0	0.0
